,country,total_cases,total_cases_with_travel_history_to_china,total_cases_with_transmission_outside_china,total_cases_with_transmission_site_under_investigation,total_deaths,date,daily_cases,daily_deaths,lat,long,region,continent
0,Australia,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,-25.274398,133.775136,Western Pacific,Australia
1,Belgium,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,50.640281,4.666715,European,Europe
2,Cambodia,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,12.565679,104.990963,Western Pacific,Asia
3,Canada,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,56.130366,-106.346771,The Americas,North America
4,China,278.0,0.0,0.0,0.0,6.0,2020-01-21,278.0,6.0,35.86166,104.195397,Western Pacific,Asia
5,Egypt,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,26.820553,30.802498,Eastern Mediterranean,Asia
6,Finland,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,61.92411,25.748151,European,Europe
7,France,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,46.227638,2.213749,European,Europe
8,Germany,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,51.165691,10.451526,European,Europe
9,India,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,20.593684,78.96288,South East Asia,Asia
10,Italy,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,41.87194,12.56738,European,Europe
11,Japan,1.0,0.0,0.0,0.0,0.0,2020-01-21,1.0,0.0,36.204824,138.252924,Western Pacific,Asia
12,Korea,1.0,0.0,0.0,0.0,0.0,2020-01-21,1.0,0.0,40.339852,127.510093,Western Pacific,Asia
13,Malaysia,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,4.210484,101.975766,Western Pacific,Asia
14,Nepal,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,28.394857,84.124008,South East Asia,Asia
15,Philippines,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,12.879721,121.774017,Western Pacific,Asia
16,Russian,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,61.52401,105.318756,European,Europe
17,Singapore,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,1.352083,103.819836,Western Pacific,Asia
18,Spain,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,40.463667,-3.74922,European,Europe
19,SriLanka,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,7.873054,80.771797,South East Asia,Asia
20,Sweden,0.0,0.0,0.0,0.0,0.0,2020-01-21,0.0,0.0,60.128161,18.643501,European,Europe
21,Thailand,2.0,0.0,0.0,0.0,0.0,2020-01-21,2.0,0.0,15.870032,100.992541,South East Asia,Asia
